Mamee Mr. Hanna,masculino,30,3,SI,C
Cann Mr. Ernest Charles,masculino,21,3,NO,S
Vander Planke Miss. Augusta Maria,femenino,18,3,NO,S
Nicola-Yarred Miss. Jamila,femenino,14,3,SI,C
Ahlin Mrs. Johan (Johanna Persdotter Larsson),femenino,40,3,NO,S
Turpin Mrs. William John Robert (Dorothy Ann Wonnacott),femenino,27,2,NO,S
Kraeff Mr. Theodor,masculino,30,3,NO,C
Laroche Miss. Simonne Marie Anne Andree,femenino,3,2,SI,C
Devaney Miss. Margaret Delia,femenino,19,3,SI,Q
Rogers Mr. William John,masculino,30,3,NO,S
Lennon Mr. Denis,masculino,30,3,NO,Q
O'Driscoll Miss. Bridget,femenino,30,3,SI,Q
Samaan Mr. Youssef,masculino,30,3,NO,C
Arnold-Franchi Mrs. Josef (Josefine Franchi),femenino,18,3,NO,S
Panula Master. Juha Niilo,masculino,7,3,NO,S
Nosworthy Mr. Richard Cater,masculino,21,3,NO,S
Harper Mrs. Henry Sleeper (Myna Haxtun),femenino,49,1,SI,C
Faunthorpe Mrs. Lizzie (Elizabeth Anne Wilkinson),femenino,29,2,SI,S
Ostby Mr. Engelhart Cornelius,masculino,65,1,NO,C
Woolner Mr. Hugh,masculino,30,1,SI,S
Rugg Miss. Emily,femenino,21,2,SI,S
Novel Mr. Mansouer,masculino,30,3,NO,C
West Miss. Constance Mirium,femenino,5,2,SI,S
Goodwin Master. William Frederick,masculino,11,3,NO,S
Sirayanian Mr. Orsen,masculino,22,3,NO,C
Icard Miss. Amelie,femenino,38,1,SI,Q
Harris Mr. Henry Birkhardt,masculino,45,1,NO,S
Skoog Master. Harald,masculino,4,3,NO,S
Stewart Mr. Albert A,masculino,30,1,NO,C
Moubarek Master. Gerios,masculino,30,3,SI,C
Nye Mrs. (Elizabeth Ramell),femenino,29,2,SI,S
Crease Mr. Ernest James,masculino,19,3,NO,S
Andersson Miss. Erna Alexandra,femenino,17,3,SI,S
Kink Mr. Vincenz,masculino,26,3,NO,S
Jenkin Mr. Stephen Curnow,masculino,32,2,NO,S
Goodwin Miss. Lillian Amy,femenino,16,3,NO,S
Hood Mr. Ambrose Jr,masculino,21,2,NO,S
Chronopoulos Mr. Apostolos,masculino,26,3,NO,C
Bing Mr. Lee,masculino,32,3,SI,S
Moen Mr. Sigurd Hansen,masculino,25,3,NO,S
Staneff Mr. Ivan,masculino,30,3,NO,S
Moutal Mr. Rahamin Haim,masculino,30,3,NO,S
Caldwell Master. Alden Gates,masculino,83,2,SI,S
Dowdell Miss. Elizabeth,femenino,30,3,SI,S
Waelens Mr. Achille,masculino,22,3,NO,S
Sheerlinck Mr. Jan Baptist,masculino,29,3,SI,S
McDermott Miss. Brigdet Delia,femenino,30,3,SI,Q
Carrau Mr. Francisco M,masculino,28,1,NO,S
Ilett Miss. Bertha,femenino,17,2,SI,S
Backstrom Mrs. Karl Alfred (Maria Mathilda Gustafsson),femenino,33,3,SI,S
Ford Mr. William Neal,masculino,16,3,NO,S
Slocovski Mr. Selman Francis,masculino,30,3,NO,S
Fortune Miss. Mabel Helen,femenino,23,1,SI,S
Celotti Mr. Francesco,masculino,24,3,NO,S
Christmann Mr. Emil,masculino,29,3,NO,S
Andreasson Mr. Paul Edvin,masculino,20,3,NO,S
Chaffee Mr. Herbert Fuller,masculino,46,1,NO,S
Dean Mr. Bertram Frank,masculino,26,3,NO,S
Coxon Mr. Daniel,masculino,59,3,NO,S
Shorney Mr. Charles Joseph,masculino,30,3,NO,S
Goldschmidt Mr. George B,masculino,71,1,NO,C
Greenfield Mr. William Bertram,masculino,23,1,SI,C
Doling Mrs. John T (Ada Julia Bone),femenino,34,2,SI,S
Kantor Mr. Sinai,masculino,34,2,NO,S
Petranec Miss. Matilda,femenino,28,3,NO,S
Petroff Mr. Pastcho (Pentcho),masculino,30,3,NO,S
White Mr. Richard Frasar,masculino,21,1,NO,S
Johansson Mr. Gustaf Joel,masculino,33,3,NO,S
Gustafsson Mr. Anders Vilhelm,masculino,37,3,NO,S
Mionoff Mr. Stoytcho,masculino,28,3,NO,S
Salkjelsvik Miss. Anna Kristine,femenino,21,3,SI,S
Moss Mr. Albert Johan,masculino,30,3,SI,S
Rekic Mr. Tido,masculino,38,3,NO,S
Moran Miss. Bertha,femenino,30,3,SI,Q
Porter Mr. Walter Chamberlain,masculino,47,1,NO,S
Zabour Miss. Hileni,femenino,30,3,NO,C
Barton Mr. David John,masculino,22,3,NO,S
Jussila Miss. Katriina,femenino,20,3,NO,S
Attalah Miss. Malake,femenino,17,3,NO,C
Pekoniemi Mr. Edvard,masculino,21,3,NO,S
Connors Mr. Patrick,masculino,30,3,NO,Q
Turpin Mr. William John Robert,masculino,29,2,NO,S
Baxter Mr. Quigg Edmond,masculino,24,1,NO,C
Andersson Miss. Ellis Anna Maria,femenino,2,3,NO,S
Hickman Mr. Stanley George,masculino,21,2,NO,S
Moore Mr. Leonard Charles,masculino,30,3,NO,S
Nasser Mr. Nicholas,masculino,30,2,NO,C
Webber Miss. Susan,femenino,30,2,SI,S
White Mr. Percival Wayland,masculino,54,1,NO,S
Nicola-Yarred Master. Elias,masculino,12,3,SI,C
McMahon Mr. Martin,masculino,30,3,NO,Q
Madsen Mr. Fridtjof Arne,masculino,24,3,SI,S
Peter Miss. Anna,femenino,30,3,SI,C
Ekstrom Mr. Johan,masculino,45,3,NO,S
Drazenoic Mr. Jozef,masculino,33,3,NO,C
Coelho Mr. Domingos Fernandeo,masculino,20,3,NO,S
Robins Mrs. Alexander A (Grace Charity Laury),femenino,47,3,NO,S
Weisz Mrs. Leopold (Mathilde Francoise Pede),femenino,29,2,SI,S
Sobey Mr. Samuel James Hayden,masculino,25,2,NO,S
Richard Mr. Emile,masculino,23,2,NO,C
Newsom Miss. Helen Monypeny,femenino,19,1,SI,S
Futrelle Mr. Jacques Heath,masculino,37,1,NO,S
Osen Mr. Olaf Elon,masculino,16,3,NO,S
Giglio Mr. Victor,masculino,24,1,NO,C
Boulos Mrs. Joseph (Sultana),femenino,30,3,NO,C
Nysten Miss. Anna Sofia,femenino,22,3,SI,S
Hakkarainen Mrs. Pekka Pietari (Elin Matilda Dolck),femenino,24,3,SI,S
Burke Mr. Jeremiah,masculino,19,3,NO,Q
Andrew Mr. Edgardo Samuel,masculino,18,2,NO,S
Nicholls Mr. Joseph Charles,masculino,19,2,NO,S
Andersson Mr. August Edvard (Wennerstrom),masculino,27,3,SI,S
Ford Miss. Robina Maggie Ruby,femenino,9,3,NO,S
Navratil Mr. Michel (Louis M Hoffman),masculino,30,2,NO,S
Byles Rev. Thomas Roussel Davids,masculino,42,2,NO,S
Bateman Rev. Robert James,masculino,51,2,NO,S
Pears Mrs. Thomas (Edith Wearne),femenino,22,1,SI,S
Meo Mr. Alfonzo,masculino,30,3,NO,S
van Billiard Mr. Austin Blyler,masculino,30,3,NO,S
Olsen Mr. Ole Martin,masculino,30,3,NO,S
Williams Mr. Charles Duane,masculino,51,1,NO,C
Gilnagh Miss. Katherine Katie,femenino,16,3,SI,Q
Corn Mr. Harry,masculino,30,3,NO,S
Smiljanic Mr. Mile,masculino,30,3,NO,S
Sage Master. Thomas Henry,masculino,30,3,NO,S
Cribb Mr. John Hatfield,masculino,44,3,NO,S
Watt Mrs. James (Elizabeth Bessie Inglis Milne),femenino,40,2,SI,S
Bengtsson Mr. John Viktor,masculino,26,3,NO,S
Calic Mr. Jovo,masculino,17,3,NO,S
Panula Master. Eino Viljami,masculino,1,3,NO,S
Goldsmith Master. Frank John William Frankie,masculino,9,3,SI,S
Chibnall Mrs. (Edith Martha Bowerman),femenino,30,1,SI,S
Skoog Mrs. William (Anna Bernhardina Karlsson),femenino,45,3,NO,S
Baumann Mr. John D,masculino,30,1,NO,S
Ling Mr. Lee,masculino,28,3,NO,S
Van der hoef Mr. Wyckoff,masculino,61,1,NO,S
Rice Master. Arthur,masculino,4,3,NO,Q
Johnson Miss. Eleanor Ileen,femenino,1,3,SI,S
Sivola Mr. Antti Wilhelm,masculino,21,3,NO,S
Smith Mr. James Clinch,masculino,56,1,NO,C
Klasen Mr. Klas Albin,masculino,18,3,NO,S
Lefebre Master. Henry Forbes,masculino,30,3,NO,S
Isham Miss. Ann Elizabeth,femenino,50,1,NO,C
Hale Mr. Reginald,masculino,30,2,NO,S
Leonard Mr. Lionel,masculino,36,3,NO,S
Sage Miss. Constance Gladys,femenino,30,3,NO,S
Pernot Mr. Rene,masculino,30,2,NO,C
Asplund Master. Clarence Gustaf Hugo,masculino,9,3,NO,S
Becker Master. Richard F,masculino,1,2,SI,S
Kink-Heilmann Miss. Luise Gretchen,femenino,4,3,SI,S
Rood Mr. Hugh Roscoe,masculino,30,1,NO,S
O'Brien Mrs. Thomas (Johanna Hannah Godfrey),femenino,30,3,SI,Q
Romaine Mr. Charles Hallace (Mr C Rolmane),masculino,45,1,SI,S
Bourke Mr. John,masculino,40,3,NO,Q
Turcin Mr. Stjepan,masculino,36,3,NO,S
Pinsky Mrs. (Rosa),femenino,32,2,SI,S
Carbines Mr. William,masculino,19,2,NO,S
Andersen-Jensen Miss. Carla Christine Nielsine,femenino,19,3,SI,S
Navratil Master. Michel M,masculino,3,2,SI,S
Brown Mrs. James Joseph (Margaret Tobin),femenino,44,1,SI,C
Lurette Miss. Elise,femenino,58,1,SI,C
Mernagh Mr. Robert,masculino,30,3,NO,Q
Olsen Mr. Karl Siegwart Andreas,masculino,42,3,NO,S
Madigan Miss. Margaret Maggie,femenino,30,3,SI,Q
Yrois Miss. Henriette (Mrs Harbeck),femenino,24,2,NO,S
Vande Walle Mr. Nestor Cyriel,masculino,28,3,NO,S
Sage Mr. Frederick,masculino,30,3,NO,S
Johanson Mr. Jakob Alfred,masculino,34,3,NO,S
Youseff Mr. Gerious,masculino,30,3,NO,C
Cohen Mr. Gurshon Gus,masculino,18,3,SI,S
Strom Miss. Telma Matilda,femenino,2,3,NO,S
Backstrom Mr. Karl Alfred,masculino,32,3,NO,S
Albimona Mr. Nassef Cassem,masculino,26,3,SI,C
Carr Miss. Helen Ellen,femenino,16,3,SI,Q
Blank Mr. Henry,masculino,40,1,SI,C
Ali Mr. Ahmed,masculino,24,3,NO,S
Cameron Miss. Clear Annie,femenino,35,2,SI,S
Perkin Mr. John Henry,masculino,22,3,NO,S
Givard Mr. Hans Kristensen,masculino,30,2,NO,S
Kiernan Mr. Philip,masculino,30,3,NO,Q
Newell Miss. Madeleine,femenino,31,1,SI,C
Honkanen Miss. Eliina,femenino,27,3,SI,S
Jacobsohn Mr. Sidney Samuel,masculino,42,2,NO,S
Bazzani Miss. Albina,femenino,32,1,SI,C
Harris Mr. Walter,masculino,30,2,NO,S
Sunderland Mr. Victor Francis,masculino,16,3,SI,S
Bracken Mr. James H,masculino,27,2,NO,S
Green Mr. George Henry,masculino,51,3,NO,S
Nenkoff Mr. Christo,masculino,30,3,NO,S
Hoyt Mr. Frederick Maxfield,masculino,38,1,SI,S
Berglund Mr. Karl Ivar Sven,masculino,22,3,NO,S
Mellors Mr. William John,masculino,19,2,SI,S
Lovell Mr. John Hall (Henry),masculino,30,3,NO,S
Fahlstrom Mr. Arne Jonas,masculino,18,2,NO,S
Lefebre Miss. Mathilde,femenino,30,3,NO,S
Harris Mrs. Henry Birkhardt (Irene Wallach),femenino,35,1,SI,S
Larsson Mr. Bengt Edvin,masculino,29,3,NO,S
Sjostedt Mr. Ernst Adolf,masculino,59,2,NO,S
Asplund Miss. Lillian Gertrud,femenino,5,3,SI,S
Leyson Mr. Robert William Norman,masculino,24,2,NO,S
Harknett Miss. Alice Phoebe,femenino,30,3,NO,S
Hold Mr. Stephen,masculino,44,2,NO,S
Collyer Miss. Marjorie Lottie,femenino,8,2,SI,S
Pengelly Mr. Frederick William,masculino,19,2,NO,S
Hunt Mr. George Henry,masculino,33,2,NO,S
Zabour Miss. Thamine,femenino,30,3,NO,C
Murphy Miss. Katherine Kate,femenino,30,3,SI,Q
Coleridge Mr. Reginald Charles,masculino,29,2,NO,S
Maenpaa Mr. Matti Alexanteri,masculino,22,3,NO,S
Attalah Mr. Sleiman,masculino,30,3,NO,C
Minahan Dr. William Edward,masculino,44,1,NO,Q
Lindahl Miss. Agda Thorilda Viktoria,femenino,25,3,NO,S
Hamalainen Mrs. William (Anna),femenino,24,2,SI,S
Beckwith Mr. Richard Leonard,masculino,37,1,SI,S
Carter Rev. Ernest Courtenay,masculino,54,2,NO,S
Reed Mr. James George,masculino,30,3,NO,S
Strom Mrs. Wilhelm (Elna Matilda Persson),femenino,29,3,NO,S
Stead Mr. William Thomas,masculino,62,1,NO,S
Lobb Mr. William Arthur,masculino,30,3,NO,S
Rosblom Mrs. Viktor (Helena Wilhelmina),femenino,41,3,NO,S
Touma Mrs. Darwis (Hanne Youssef Razi),femenino,29,3,SI,C
Thorne Mrs. Gertrude Maybelle,femenino,30,1,SI,C
Cherry Miss. Gladys,femenino,30,1,SI,S
Ward Miss. Anna,femenino,35,1,SI,C
Parrish Mrs. (Lutie Davis),femenino,50,2,SI,S
Smith Mr. Thomas,masculino,30,3,NO,Q
Asplund Master. Edvin Rojj Felix,masculino,3,3,SI,S
Taussig Mr. Emil,masculino,52,1,NO,S
Harrison Mr. William,masculino,40,1,NO,S
Henry Miss. Delia,femenino,30,3,NO,Q
Reeves Mr. David,masculino,36,2,NO,S
Panula Mr. Ernesti Arvid,masculino,16,3,NO,S
Persson Mr. Ernst Ulrik,masculino,25,3,SI,S
Graham Mrs. William Thompson (Edith Junkins),femenino,58,1,SI,S
Bissette Miss. Amelia,femenino,35,1,SI,S
Cairns Mr. Alexander,masculino,30,1,NO,S
Tornquist Mr. William Henry,masculino,25,3,SI,S
Mellinger Mrs. (Elizabeth Anne Maidment),femenino,41,2,SI,S
Natsch Mr. Charles H,masculino,37,1,NO,C
Healy Miss. Hanora Nora,femenino,30,3,SI,Q
Andrews Miss. Kornelia Theodosia,femenino,63,1,SI,S
Lindblom Miss. Augusta Charlotta,femenino,45,3,NO,S
Parkes Mr. Francis Frank,masculino,30,2,NO,S
Rice Master. Eric,masculino,7,3,NO,Q
Abbott Mrs. Stanton (Rosa Hunt),femenino,35,3,SI,S
Duane Mr. Frank,masculino,65,3,NO,Q
Olsson Mr. Nils Johan Goransson,masculino,28,3,NO,S
de Pelsmaeker Mr. Alfons,masculino,16,3,NO,S
Dorking Mr. Edward Arthur,masculino,19,3,SI,S
Smith Mr. Richard William,masculino,30,1,NO,S
Stankovic Mr. Ivan,masculino,33,3,NO,C
de Mulder Mr. Theodore,masculino,30,3,SI,S
Naidenoff Mr. Penko,masculino,22,3,NO,S
Hosono Mr. Masabumi,masculino,42,2,SI,S
Connolly Miss. Kate,femenino,22,3,SI,Q
Barber Miss. Ellen Nellie,femenino,26,1,SI,S
Bishop Mrs. Dickinson H (Helen Walton),femenino,19,1,SI,C
Levy Mr. Rene Jacques,masculino,36,2,NO,C
Haas Miss. Aloisia,femenino,24,3,NO,S
Mineff Mr. Ivan,masculino,24,3,NO,S
Lewy Mr. Ervin G,masculino,30,1,NO,C
Hanna Mr. Mansour,masculino,30,3,NO,C
Allison Miss. Helen Loraine,femenino,2,1,NO,S
Saalfeld Mr. Adolphe,masculino,30,1,SI,S
Baxter Mrs. James (Helene DeLaudeniere Chaput),femenino,50,1,SI,C
Kelly Miss. Anna Katherine Annie Kate,femenino,30,3,SI,Q
McCoy Mr. Bernard,masculino,30,3,SI,Q
Johnson Mr. William Cahoone Jr,masculino,19,3,NO,S
Keane Miss. Nora A,femenino,30,2,SI,Q
Williams Mr. Howard Hugh Harry,masculino,30,3,NO,S
Allison Master. Hudson Trevor,masculino,92,1,SI,S
Fleming Miss. Margaret,femenino,30,1,SI,C
Penasco y Castellana Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo),femenino,17,1,SI,C
Abelson Mr. Samuel,masculino,30,2,NO,C
Francatelli Miss. Laura Mabel,femenino,30,1,SI,C
Hays Miss. Margaret Bechstein,femenino,24,1,SI,C
Ryerson Miss. Emily Borie,femenino,18,1,SI,C
Lahtinen Mrs. William (Anna Sylfven),femenino,26,2,NO,S
Hendekovic Mr. Ignjac,masculino,28,3,NO,S
Hart Mr. Benjamin,masculino,43,2,NO,S
Nilsson Miss. Helmina Josefina,femenino,26,3,SI,S
Kantor Mrs. Sinai (Miriam Sternin),femenino,24,2,SI,S
Moraweck Dr. Ernest,masculino,54,2,NO,S
Wick Miss. Mary Natalie,femenino,31,1,SI,S
Spedden Mrs. Frederic Oakley (Margaretta Corning Stone),femenino,40,1,SI,C
Dennis Mr. Samuel,masculino,22,3,NO,S
Danoff Mr. Yoto,masculino,27,3,NO,S
Slayter Miss. Hilda Mary,femenino,30,2,SI,Q
Caldwell Mrs. Albert Francis (Sylvia Mae Harbaugh),femenino,22,2,SI,S
Sage Mr. George John Jr,masculino,30,3,NO,S
Young Miss. Marie Grice,femenino,36,1,SI,C
Nysveen Mr. Johan Hansen,masculino,61,3,NO,S
Ball Mrs. (Ada E Hall),femenino,36,2,SI,S
Goldsmith Mrs. Frank John (Emily Alice Brown),femenino,31,3,SI,S
Hippach Miss. Jean Gertrude,femenino,16,1,SI,C
McCoy Miss. Agnes,femenino,30,3,SI,Q
Partner Mr. Austen,masculino,30,1,NO,S
Graham Mr. George Edward,masculino,38,1,NO,S
Vander Planke Mr. Leo Edmondus,masculino,16,3,NO,S
Frauenthal Mrs. Henry William (Clara Heinsheimer),femenino,30,1,SI,S
Denkoff Mr. Mitto,masculino,30,3,NO,S
Pears Mr. Thomas Clinton,masculino,29,1,NO,S
Burns Miss. Elizabeth Margaret,femenino,41,1,SI,C
Dahl Mr. Karl Edwart,masculino,45,3,SI,S
Blackwell Mr. Stephen Weart,masculino,45,1,NO,S
Navratil Master. Edmond Roger,masculino,2,2,SI,S
Fortune Miss. Alice Elizabeth,femenino,24,1,SI,S
Collander Mr. Erik Gustaf,masculino,28,2,NO,S
Sedgwick Mr. Charles Frederick Waddington,masculino,25,2,NO,S
Fox Mr. Stanley Hubert,masculino,36,2,NO,S
Brown Miss. Amelia Mildred,femenino,24,2,SI,S
Smith Miss. Marion Elsie,femenino,40,2,SI,S
Davison Mrs. Thomas Henry (Mary E Finck),femenino,30,3,SI,S
Coutts Master. William Loch William,masculino,3,3,SI,S
Dimic Mr. Jovan,masculino,42,3,NO,S
Odahl Mr. Nils Martin,masculino,23,3,NO,S
Williams-Lambert Mr. Fletcher Fellows,masculino,30,1,NO,S
Elias Mr. Tannous,masculino,15,3,NO,C
Arnold-Franchi Mr. Josef,masculino,25,3,NO,S
Yousif Mr. Wazli,masculino,30,3,NO,C
Vanden Steen Mr. Leo Peter,masculino,28,3,NO,S
Bowerman Miss. Elsie Edith,femenino,22,1,SI,S
Funk Miss. Annie Clemmer,femenino,38,2,NO,S
McGovern Miss. Mary,femenino,30,3,SI,Q
Mockler Miss. Helen Mary Ellie,femenino,30,3,SI,Q
Skoog Mr. Wilhelm,masculino,40,3,NO,S
del Carlo Mr. Sebastiano,masculino,29,2,NO,C
Barbara Mrs. (Catherine David),femenino,45,3,NO,C
Asim Mr. Adola,masculino,35,3,NO,S
O'Brien Mr. Thomas,masculino,30,3,NO,Q
Adahl Mr. Mauritz Nils Martin,masculino,30,3,NO,S
Warren Mrs. Frank Manley (Anna Sophia Atkinson),femenino,60,1,SI,C
Moussa Mrs. (Mantoura Boulos),femenino,30,3,SI,C
Jermyn Miss. Annie,femenino,30,3,SI,Q
Aubart Mme. Leontine Pauline,femenino,24,1,SI,C
Harder Mr. George Achilles,masculino,25,1,SI,C
Wiklund Mr. Jakob Alfred,masculino,18,3,NO,S
Beavan Mr. William Thomas,masculino,19,3,NO,S
Ringhini Mr. Sante,masculino,22,1,NO,C
Palsson Miss. Stina Viola,femenino,3,3,NO,S
Meyer Mrs. Edgar Joseph (Leila Saks),femenino,30,1,SI,C
Landergren Miss. Aurora Adelia,femenino,22,3,SI,S
Widener Mr. Harry Elkins,masculino,27,1,NO,C
Betros Mr. Tannous,masculino,20,3,NO,C
Gustafsson Mr. Karl Gideon,masculino,19,3,NO,S
Bidois Miss. Rosalie,femenino,42,1,SI,C
Nakid Miss. Maria (Mary),femenino,1,3,SI,C
Tikkanen Mr. Juho,masculino,32,3,NO,S
Holverson Mrs. Alexander Oskar (Mary Aline Towner),femenino,35,1,SI,S
Plotcharsky Mr. Vasil,masculino,30,3,NO,S
Davies Mr. Charles Henry,masculino,18,2,NO,S
Goodwin Master. Sidney Leonard,masculino,1,3,NO,S
Buss Miss. Kate,femenino,36,2,SI,S
Sadlier Mr. Matthew,masculino,30,3,NO,Q
Lehmann Miss. Bertha,femenino,17,2,SI,C
Carter Mr. William Ernest,masculino,36,1,SI,S
Jansson Mr. Carl Olof,masculino,21,3,SI,S
Gustafsson Mr. Johan Birger,masculino,28,3,NO,S
Newell Miss. Marjorie,femenino,23,1,SI,C
Sandstrom Mrs. Hjalmar (Agnes Charlotta Bengtsson),femenino,24,3,SI,S
Johansson Mr. Erik,masculino,22,3,NO,S
Olsson Miss. Elina,femenino,31,3,NO,S
McKane Mr. Peter David,masculino,46,2,NO,S
Pain Dr. Alfred,masculino,23,2,NO,S
Trout Mrs. William H (Jessie L),femenino,28,2,SI,S
Niskanen Mr. Juha,masculino,39,3,SI,S
Adams Mr. John,masculino,26,3,NO,S
Jussila Miss. Mari Aina,femenino,21,3,NO,S
Hakkarainen Mr. Pekka Pietari,masculino,28,3,NO,S
Oreskovic Miss. Marija,femenino,20,3,NO,S
Gale Mr. Shadrach,masculino,34,2,NO,S
Widegren Mr. Carl/Charles Peter,masculino,51,3,NO,S
Richards Master. William Rowe,masculino,3,2,SI,S
Birkeland Mr. Hans Martin Monsen,masculino,21,3,NO,S
Lefebre Miss. Ida,femenino,30,3,NO,S
Sdycoff Mr. Todor,masculino,30,3,NO,S
Hart Mr. Henry,masculino,30,3,NO,Q
Minahan Miss. Daisy E,femenino,33,1,SI,Q
Cunningham Mr. Alfred Fleming,masculino,30,2,NO,S
Sundman Mr. Johan Julian,masculino,44,3,SI,S
Meek Mrs. Thomas (Annie Louise Rowley),femenino,30,3,NO,S
Drew Mrs. James Vivian (Lulu Thorne Christian),femenino,34,2,SI,S
Silven Miss. Lyyli Karoliina,femenino,18,2,SI,S
Matthews Mr. William John,masculino,30,2,NO,S
Van Impe Miss. Catharina,femenino,10,3,NO,S
Gheorgheff Mr. Stanio,masculino,30,3,NO,C
Charters Mr. David,masculino,21,3,NO,Q
Zimmerman Mr. Leo,masculino,29,3,NO,S
Danbom Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren),femenino,28,3,NO,S
Rosblom Mr. Viktor Richard,masculino,18,3,NO,S
Wiseman Mr. Phillippe,masculino,30,3,NO,S
Clarke Mrs. Charles V (Ada Maria Winfield),femenino,28,2,SI,S
Phillips Miss. Kate Florence (Mrs Kate Louise Phillips Marshall),femenino,19,2,SI,S
Flynn Mr. James,masculino,30,3,NO,Q
Pickard Mr. Berk (Berk Trembisky),masculino,32,3,SI,S
Bjornstrom-Steffansson Mr. Mauritz Hakan,masculino,28,1,SI,S
Thorneycroft Mrs. Percival (Florence Kate White),femenino,30,3,SI,S
Louch Mrs. Charles Alexander (Alice Adelaide Slow),femenino,42,2,SI,S
Kallio Mr. Nikolai Erland,masculino,17,3,NO,S
Silvey Mr. William Baird,masculino,50,1,NO,S
Carter Miss. Lucile Polk,femenino,14,1,SI,S
Ford Miss. Doolina Margaret Daisy,femenino,21,3,NO,S
Richards Mrs. Sidney (Emily Hocking),femenino,24,2,SI,S
Fortune Mr. Mark,masculino,64,1,NO,S
Kvillner Mr. Johan Henrik Johannesson,masculino,31,2,NO,S
Hart Mrs. Benjamin (Esther Ada Bloomfield),femenino,45,2,SI,S
Hampe Mr. Leon,masculino,20,3,NO,S
Petterson Mr. Johan Emil,masculino,25,3,NO,S
Reynaldo Ms. Encarnacion,femenino,28,2,SI,S
Johannesen-Bratthammer Mr. Bernt,masculino,30,3,SI,S
Dodge Master. Washington,masculino,4,1,SI,S
Mellinger Miss. Madeleine Violet,femenino,13,2,SI,S
Seward Mr. Frederic Kimber,masculino,34,1,SI,S
Baclini Miss. Marie Catherine,femenino,5,3,SI,C
Peuchen Major. Arthur Godfrey,masculino,52,1,SI,S
West Mr. Edwy Arthur,masculino,36,2,NO,S
Hagland Mr. Ingvald Olai Olsen,masculino,30,3,NO,S
Foreman Mr. Benjamin Laventall,masculino,30,1,NO,C
Goldenberg Mr. Samuel L,masculino,49,1,SI,C
Peduzzi Mr. Joseph,masculino,30,3,NO,S
Jalsevac Mr. Ivan,masculino,29,3,SI,C
Millet Mr. Francis Davis,masculino,65,1,NO,S
Kenyon Mrs. Frederick R (Marion),femenino,30,1,SI,S
Toomey Miss. Ellen,femenino,50,2,SI,S
O'Connor Mr. Maurice,masculino,30,3,NO,Q
Anderson Mr. Harry,masculino,48,1,SI,S
Morley Mr. William,masculino,34,3,NO,S
Gee Mr. Arthur H,masculino,47,1,NO,S
Milling Mr. Jacob Christian,masculino,48,2,NO,S
Maisner Mr. Simon,masculino,30,3,NO,S
Goncalves Mr. Manuel Estanslas,masculino,38,3,NO,S
Campbell Mr. William,masculino,30,2,NO,S
Smart Mr. John Montgomery,masculino,56,1,NO,S
Scanlan Mr. James,masculino,30,3,NO,Q
Baclini Miss. Helene Barbara,femenino,75,3,SI,C
Keefe Mr. Arthur,masculino,30,3,NO,S
Cacic Mr. Luka,masculino,38,3,NO,S
West Mrs. Edwy Arthur (Ada Mary Worth),femenino,33,2,SI,S
